sigma^2,N,Avg_Unaligned_Error,Avg_Aligned_Error
0.01,10,3.1064851075103546,0.41340591453651077
0.01,20,3.2485431664081363,0.49733274923440157
0.01,30,3.9883417754335544,0.5477107487346453
0.01,40,2.103985524138853,0.5491886436104545
0.01,50,4.228541054129162,0.5555251319708059
0.01,60,3.0954166211623373,0.5501239481724683
0.01,70,4.233455302948464,0.5501015562711778
0.01,80,4.222105587606032,0.557802892116537
0.01,90,2.017974712571904,0.5585293929972219
0.01,100,3.0134131221451863,0.5516149304904696
0.01,110,4.22549318406772,0.5556729420195947
0.01,120,2.383938559230117,0.5550484681545294
0.01,130,3.1046538944624475,0.5570614232975752
0.01,140,3.101448049997917,0.5585542156295789
0.01,150,2.0820840894071897,0.5558161956531056
0.01,160,4.22930106524877,0.5469725960062382
0.01,170,3.2367140238100953,0.5550763804412818
0.01,180,4.2520493626063764,0.5555129640618143
0.01,190,3.9569900558584683,0.5544092417225875
0.01,200,3.1140353425814182,0.556271412144909
0.03,10,2.474542991876208,0.4084949882550356
0.03,20,3.163982196269832,0.5417440095651509
0.03,30,3.3109128655097053,0.4704734483807122
0.03,40,3.280505640475029,0.5431068537695789
0.03,50,4.022112846837901,0.5454126735376827
0.03,60,2.2032855290933355,0.5416356457678259
0.03,70,3.9881145533256595,0.5430302507580876
0.03,80,2.2162595163263443,0.5477530042267179
0.03,90,3.347236023748892,0.5361186388787869
0.03,100,2.4398568151031044,0.5560587921106599
0.03,110,3.3704527018528663,0.5482602949895479
0.03,120,2.1192932659683095,0.5579926260449992
0.03,130,3.7353661198688797,0.5503118740073016
0.03,140,4.225007941127354,0.5415435417133347
0.03,150,3.946742946931642,0.550833178380973
0.03,160,2.3209729368192624,0.552285064505513
0.03,170,2.459588879040593,0.5540069177117625
0.03,180,4.189205201092963,0.4965228132957074
0.03,190,4.0250427238347415,0.5532562881403092
0.03,200,3.113762745950936,0.5478500730119189
0.05,10,2.7831876032294502,0.3427618293691432
0.05,20,3.4917451129161257,0.33255114396813007
0.05,30,3.3026694607332208,0.5015566332655418
0.05,40,3.1358187307525314,0.5007032004708765
0.05,50,3.255270319749379,0.5328323721952469
0.05,60,4.042050982766434,0.47967981095226314
0.05,70,3.1260376594783694,0.4200912978545148
0.05,80,3.1273795695182813,0.44781615502496686
0.05,90,3.087390271369048,0.5191447722611763
0.05,100,3.266404183423243,0.48018146194457517
0.05,110,3.155013316228392,0.4480140753906081
0.05,120,4.052506983792326,0.4564319965154179
0.05,130,3.19354871878651,0.5334329854194902
0.05,140,3.179215564482961,0.5548756784665358
0.05,150,3.046355115517347,0.43226646817071473
0.05,160,4.186367083917407,0.5337907172309725
0.05,170,3.896079867173458,0.5442658158380844
0.05,180,2.166003903038119,0.5180967378041417
0.05,190,3.2326873377242267,0.5489437030629104
0.05,200,3.0904114493147667,0.5541470629353747
0.07,10,2.770200967734755,0.3155742917318138
0.07,20,2.477008398276822,0.4359899662071071
0.07,30,3.0150455201820843,0.4735216059034948
