sigma^2,N,Run,Unaligned_Error,Aligned_Error
0.01,10,1,3.695837324377425,0.2840999818271341
0.01,10,2,3.4824548590321394,0.3064781995155718
0.01,40,1,3.2623086774755774,0.3065964791141839
0.01,40,2,3.219446769396772,0.30551853646767857
0.01,70,1,2.7849393422639577,0.30690409437807753
0.01,70,2,3.1935428600184044,0.3069770598953613
0.01,100,1,3.214240369865401,0.3062589810426289
0.01,100,2,3.2369794966660193,0.30598761647899353
0.01,130,1,3.1704361239804157,0.3064263004321077
0.01,130,2,3.2268391164884545,0.3059403721446544
0.01,160,1,3.2259930502277574,0.30613449234255274
0.01,160,2,3.1913007149389454,0.3060914191836888
0.01,190,1,3.2169847271037075,0.30651029733984564
0.01,190,2,3.18759029465434,0.30691498859695265
0.03,10,1,2.803853611641128,0.2871793276450828
0.03,10,2,3.744045162837552,0.29704581613916614
0.03,40,1,2.8965018529237576,0.30636540579207644
0.03,40,2,3.3417733470318822,0.290724495248251
0.03,70,1,3.0347290605713564,0.28198748855159045
0.03,70,2,3.5420797300933113,0.3076555457086679
0.03,100,1,2.9890419997345976,0.308312127622308
0.03,100,2,3.159912535154483,0.30534752292129913
0.03,130,1,3.4977608691901647,0.3061825367459693
0.03,130,2,3.20977459137795,0.299745994751548
0.03,160,1,3.1727130476228846,0.305764691820311
0.03,160,2,3.2219608344187867,0.3053170357415222
0.03,190,1,3.266613059746354,0.3069170775794546
0.03,190,2,3.164343074620801,0.3061430033219814
0.05,10,1,3.927650432253646,0.28496753194816365
0.05,10,2,2.9375148209567072,0.31122572344447624
0.05,40,1,2.693077219764944,0.2987008537272805
0.05,40,2,3.441035562643994,0.3072754615696501
0.05,70,1,2.8890699095916683,0.3006291107206913
0.05,70,2,3.5647308380991545,0.2906930996987493
0.05,100,1,3.7908673698533613,0.30110130875450225
0.05,100,2,3.238862050745825,0.29865384640934284
0.05,130,1,2.7384785432452454,0.3021410144534415
0.05,130,2,3.5409739851257362,0.2985863686663751
0.05,160,1,3.5381135943809543,0.30551527257769273
0.05,160,2,3.144056594653928,0.300831285359998
0.05,190,1,3.22251177373646,0.30198781474156144
0.05,190,2,3.1374030946339477,0.30570819224162116
